Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Honda Vezel  2018 Hybrid RS Honda Sensing  for Sale,PKR 78.5lacs,N/A,Lahore,2018,"57,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 38.5lacs,N/A,Lahore,2018,"86,000 km",Petrol,1300 cc,Automatic
Toyota Aqua  2021 S for Sale9.2/10,PKR 62.5lacs,N/A,Rawalpindi,2021,"33,961 km",Hybrid,1500 cc,Automatic
Honda City  2019 1.3 i-VTEC Prosmatec for Sale,PKR 38.5lacs,N/A,Lahore,2019,"30,000 km",Petrol,1300 cc,Automatic
Toyota Raize  2020 Z for Sale,PKR 65lacs,N/A,Islamabad,2020,"47,000 km",Petrol,1000 cc,Automatic
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,PKR 57.5lacs,N/A,Islamabad,2020,"61,000 km",Petrol,1800 cc,Automatic
Toyota C-HR  2019 G-LED for Sale,PKR 95lacs,N/A,Islamabad,2019,"35,000 km",Hybrid,1800 cc,Automatic
Audi A3  2015 1.2 TFSI Design Line  for Sale,PKR 63.5lacs,N/A,Islamabad,2015,"85,000 km",Petrol,1200 cc,Automatic
Toyota Sienta  2018 G for Sale9.4/10,PKR 64lacs,N/A,Karachi,2018,"99,393 km",Petrol,1500 cc,Automatic
Toyota C-HR  2018 G for Sale,Call,N/A,Karachi,2018,"61,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 45lacs,N/A,Lahore,2016,"60,000 km",Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC Prosmatec for Sale,PKR 33.25lacs,N/A,Lahore,2016,"93,000 km",Petrol,1300 cc,Automatic
Honda Accord  2005 VTi 2.4 for Sale,PKR 34lacs,N/A,Lahore,2005,"8,822 km",Petrol,2400 cc,Automatic
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 37lacs,N/A,Karachi,2015,"90,300 km",Petrol,1800 cc,Automatic
Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,PKR 36.5lacs,N/A,Lahore,2015,"150,000 km",Petrol,1300 cc,Automatic
Honda City  2015 1.3 i-VTEC for Sale,PKR 26.5lacs,N/A,Karachi,2015,"88,500 km",Petrol,1300 cc,Manual
MG HS  2021 Trophy for Sale,PKR 68lacs,N/A,Sheikhupura,2021,"12,000 km",Petrol,1500 cc,Automatic
